State,Year,Quater,Districts,Transaction_count,Transaction_amount
Andaman & Nicobar,2018,1,north and middle andaman district,442,931663.0770939873
Andaman & Nicobar,2018,1,south andaman district,5688,12560249.34366581
Andaman & Nicobar,2018,1,nicobars district,528,1139848.801225994
Andaman & Nicobar,2018,2,north and middle andaman district,825,1317863.0834906558
Andaman & Nicobar,2018,2,south andaman district,9395,23948235.51634325
Andaman & Nicobar,2018,2,nicobars district,1120,3072436.9081196385
Andaman & Nicobar,2018,3,north and middle andaman district,1283,4901529.518499676
Andaman & Nicobar,2018,3,south andaman district,13511,44268112.46425246
Andaman & Nicobar,2018,3,nicobars district,1471,6387829.151558982
Andaman & Nicobar,2018,4,north and middle andaman district,2137,7955635.917688001
Andaman & Nicobar,2018,4,south andaman district,20136,75411840.8018554
Andaman & Nicobar,2018,4,nicobars district,1485,7180859.354911782
Andaman & Nicobar,2019,1,north and middle andaman district,3264,9561708.736298349
Andaman & Nicobar,2019,1,south andaman district,25683,85501972.38780196
Andaman & Nicobar,2019,1,nicobars district,1539,7236059.549389593
Andaman & Nicobar,2019,2,north and middle andaman district,3371,8612103.137888122
Andaman & Nicobar,2019,2,south andaman district,28490,102530955.71341258
Andaman & Nicobar,2019,2,nicobars district,1828,9111650.82436246
Andaman & Nicobar,2019,3,north and middle andaman district,4049,11481466.283356793
Andaman & Nicobar,2019,3,south andaman district,27421,91023888.32848613
Andaman & Nicobar,2019,3,nicobars district,2300,11566421.475451011
Andaman & Nicobar,2019,4,north and middle andaman district,4716,13524056.784573946
Andaman & Nicobar,2019,4,south andaman district,27843,110930312.20611623
Andaman & Nicobar,2019,4,nicobars district,2600,12384161.52668771
Andaman & Nicobar,2020,1,north and middle andaman district,5674,14697371.617857102
Andaman & Nicobar,2020,1,south andaman district,32713,134679396.90582755
Andaman & Nicobar,2020,1,nicobars district,2911,12099543.773590054
Andaman & Nicobar,2020,2,north and middle andaman district,10979,22447714.061058953
Andaman & Nicobar,2020,2,south andaman district,48088,132855778.74838585
Andaman & Nicobar,2020,2,nicobars district,3895,14341508.60470232
Andaman & Nicobar,2020,3,north and middle andaman district,16747,33486883.370425556
Andaman & Nicobar,2020,3,south andaman district,95323,282366109.20523936
Andaman & Nicobar,2020,3,nicobars district,5413,22166453.754695386
Andaman & Nicobar,2020,4,north and middle andaman district,29349,68941322.38839513
Andaman & Nicobar,2020,4,south andaman district,186494,523122462.88302904
Andaman & Nicobar,2020,4,nicobars district,8688,35218871.04342849
Andaman & Nicobar,2021,1,north and middle andaman district,27358,75027255.27919498
Andaman & Nicobar,2021,1,south andaman district,207092,669604045.1248703
Andaman & Nicobar,2021,1,nicobars district,10302,39075266.9856904
Andaman & Nicobar,2021,2,north and middle andaman district,39200,90233388.79463302
Andaman & Nicobar,2021,2,south andaman district,286907,760893020.5704944
Andaman & Nicobar,2021,2,nicobars district,15307,48020606.74716837
Andaman & Nicobar,2021,3,north and middle andaman district,46592,118254865.82750683
Andaman & Nicobar,2021,3,south andaman district,382418,1116789010.6459613
Andaman & Nicobar,2021,3,nicobars district,20754,74980519.3281361
Andaman & Nicobar,2021,4,north and middle andaman district,53115,156486112.28732437
Andaman & Nicobar,2021,4,south andaman district,558571,1694794708.0093334
Andaman & Nicobar,2021,4,nicobars district,24437,81329281.0269996
Andaman & Nicobar,2022,1,north and middle andaman district,60059,161624878.52274162
Andaman & Nicobar,2022,1,south andaman district,705512,1872991195.902684
Andaman & Nicobar,2022,1,nicobars district,29177,94414127.64974089
Andaman & Nicobar,2022,2,north and middle andaman district,72573,195693167.78757268
Andaman & Nicobar,2022,2,south andaman district,954875,2357326563.362071
Andaman & Nicobar,2022,2,nicobars district,43769,132900618.93062323
Andaman & Nicobar,2022,3,north and middle andaman district,79574,211581970.34202656
Andaman & Nicobar,2022,3,south andaman district,1455255,2967719400.849909
Andaman & Nicobar,2022,3,nicobars district,49550,131330400.94545083
Andaman & Nicobar,2022,4,north and middle andaman district,93297,241431284.3558103
Andaman & Nicobar,2022,4,south andaman district,1835592,3600887266.099448
Andaman & Nicobar,2022,4,nicobars district,58646,142355853.97352526
Andaman & Nicobar,2023,1,north and middle andaman district,152187,392080332.0
Andaman & Nicobar,2023,1,south andaman district,2030078,3867385426.0
Andaman & Nicobar,2023,1,nicobars district,94127,202062829.0
Andaman & Nicobar,2023,2,north and middle andaman district,181149,462414675.0
Andaman & Nicobar,2023,2,south andaman district,2417058,4297737197.0
Andaman & Nicobar,2023,2,nicobars district,109568,230192364.0
Andaman & Nicobar,2023,3,north and middle andaman district,198547,495623030.0
Andaman & Nicobar,2023,3,south andaman district,2771397,4462201588.0
Andaman & Nicobar,2023,3,nicobars district,128432,253772173.0
Andaman & Nicobar,2023,4,north and middle andaman district,230234,540759631.0
Andaman & Nicobar,2023,4,south andaman district,3311962,5417264997.0
Andaman & Nicobar,2023,4,nicobars district,153587,311527871.0
Andhra Pradesh,2018,1,east godavari district,943935,1235785515.5997267
Andhra Pradesh,2018,1,srikakulam district,458921,587778028.9183557
Andhra Pradesh,2018,1,spsr nellore district,531612,676643237.8069417
Andhra Pradesh,2018,1,vizianagaram district,420990,505783445.78162
Andhra Pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049946
Andhra Pradesh,2018,1,prakasam district,534757,748990775.8676485
Andhra Pradesh,2018,1,anantapur district,638664,788830646.0324218
Andhra Pradesh,2018,1,ysr district,487333,681481931.0936775
Andhra Pradesh,2018,1,west godavari district,577090,853547668.7532666
Andhra Pradesh,2018,1,kurnool district,679623,764905298.7350456
Andhra Pradesh,2018,1,chittoor district,830324,1009621878.0870512
Andhra Pradesh,2018,1,guntur district,815932,1108686589.0266829
Andhra Pradesh,2018,1,krishna district,863935,1284255179.6156201
Andhra Pradesh,2018,2,east godavari district,1221677,2168914928.4239016
Andhra Pradesh,2018,2,srikakulam district,559868,929392017.3670053
Andhra Pradesh,2018,2,spsr nellore district,780454,1542057934.0108962
Andhra Pradesh,2018,2,vizianagaram district,529588,811711367.5080048
Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939095
Andhra Pradesh,2018,2,prakasam district,739991,1571167562.1276276
Andhra Pradesh,2018,2,anantapur district,937023,1690366079.0557928
Andhra Pradesh,2018,2,ysr district,690842,1415500367.6861844
Andhra Pradesh,2018,2,west godavari district,786033,1688025212.3045945
Andhra Pradesh,2018,2,kurnool district,968439,1531888665.6843233
Andhra Pradesh,2018,2,chittoor district,1185723,1990419125.8937118
Andhra Pradesh,2018,2,guntur district,1088101,2108475811.7859967
Andhra Pradesh,2018,2,krishna district,1224987,2448141593.4919834
Andhra Pradesh,2018,3,east godavari district,3226907,3551247095.307447
Andhra Pradesh,2018,3,srikakulam district,1073883,1318322236.598471
Andhra Pradesh,2018,3,spsr nellore district,1308890,2215938596.185108
Andhra Pradesh,2018,3,vizianagaram district,970132,1163546006.895916
Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524
Andhra Pradesh,2018,3,prakasam district,1319651,2346453445.483843
Andhra Pradesh,2018,3,anantapur district,1815215,2681787750.464165
Andhra Pradesh,2018,3,ysr district,1557444,2235904512.2542048
Andhra Pradesh,2018,3,west godavari district,1431282,2309078492.8058147
Andhra Pradesh,2018,3,kurnool district,2921189,2908389261.539773
Andhra Pradesh,2018,3,chittoor district,2297429,3283517630.720593
Andhra Pradesh,2018,3,guntur district,1912529,3127764663.180438
Andhra Pradesh,2018,3,krishna district,2396934,3754202654.3844614
Andhra Pradesh,2018,4,east godavari district,3052762,4652624623.436675
Andhra Pradesh,2018,4,srikakulam district,1252807,1870278609.504549
Andhra Pradesh,2018,4,spsr nellore district,1814997,3293448556.9734454
Andhra Pradesh,2018,4,vizianagaram district,1386787,1817673252.5417767
Andhra Pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
Andhra Pradesh,2018,4,prakasam district,1692862,3255254226.03728
Andhra Pradesh,2018,4,anantapur district,2286391,3975878156.329829
Andhra Pradesh,2018,4,ysr district,1732527,3252340063.2478595
Andhra Pradesh,2018,4,west godavari district,1688482,3237504255.4632454
Andhra Pradesh,2018,4,kurnool district,2508530,3626544852.4069242
Andhra Pradesh,2018,4,chittoor district,3166201,4979093890.223491
Andhra Pradesh,2018,4,guntur district,2546620,4730251217.696959
Andhra Pradesh,2018,4,krishna district,2839161,5416251838.130407
Andhra Pradesh,2019,1,east godavari district,5440146,7382264724.59952
Andhra Pradesh,2019,1,srikakulam district,2526855,3407912878.4152584
Andhra Pradesh,2019,1,spsr nellore district,3333584,5161932216.216368
Andhra Pradesh,2019,1,vizianagaram district,2798241,3364576948.299301
Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459857440.552685
Andhra Pradesh,2019,1,prakasam district,2931081,4807527779.215151
Andhra Pradesh,2019,1,anantapur district,3891336,6044730653.191345
Andhra Pradesh,2019,1,ysr district,2852197,4915811593.896078
Andhra Pradesh,2019,1,west godavari district,2829437,4623764455.47309
Andhra Pradesh,2019,1,kurnool district,4193432,5541564892.509682
Andhra Pradesh,2019,1,chittoor district,6486813,8223371732.233585
Andhra Pradesh,2019,1,guntur district,4846553,7765934169.404485
Andhra Pradesh,2019,1,krishna district,5443981,9061346433.072681
Andhra Pradesh,2019,2,east godavari district,4699261,9116404622.47651
Andhra Pradesh,2019,2,srikakulam district,2019203,4066576539.936839
Andhra Pradesh,2019,2,spsr nellore district,3141891,6880873007.4820595
Andhra Pradesh,2019,2,vizianagaram district,2272320,4443041665.039663
Andhra Pradesh,2019,2,visakhapatnam district,11705738,20797479804.029076
Andhra Pradesh,2019,2,prakasam district,2670529,6262396448.455349
Andhra Pradesh,2019,2,anantapur district,3578836,7830782361.377665
Andhra Pradesh,2019,2,ysr district,2606284,6376856828.130632
