State,Year,Quater,Pincodes,Registered_Users
Andaman & Nicobar,2021,1,744211,1774
Andaman & Nicobar,2021,1,744205,1505
Andaman & Nicobar,2021,2,744103,12268
Andaman & Nicobar,2021,2,744105,10668
Andaman & Nicobar,2021,2,744101,10120
Andaman & Nicobar,2021,2,744102,6837
Andaman & Nicobar,2021,2,744202,3261
Andaman & Nicobar,2021,2,744107,2783
Andaman & Nicobar,2021,2,744104,2573
Andaman & Nicobar,2021,2,744112,2083
Andaman & Nicobar,2021,2,744211,1904
Andaman & Nicobar,2021,2,744205,1626
Andaman & Nicobar,2021,3,744103,13198
Andaman & Nicobar,2021,3,744105,11480
Andaman & Nicobar,2021,3,744101,10866
Andaman & Nicobar,2021,3,744102,7313
Andaman & Nicobar,2021,3,744202,3543
Andaman & Nicobar,2021,3,744107,3027
Andaman & Nicobar,2021,3,744104,2777
Andaman & Nicobar,2021,3,744112,2250
Andaman & Nicobar,2021,3,744211,2055
Andaman & Nicobar,2021,3,744205,1771
Andaman & Nicobar,2021,4,744103,14127
Andaman & Nicobar,2021,4,744105,12300
Andaman & Nicobar,2021,4,744101,11623
Andaman & Nicobar,2021,4,744102,7813
Andaman & Nicobar,2021,4,744202,3815
Andaman & Nicobar,2021,4,744107,3247
Andaman & Nicobar,2021,4,744104,2962
Andaman & Nicobar,2021,4,744112,2411
Andaman & Nicobar,2021,4,744211,2200
Andaman & Nicobar,2021,4,744205,1902
Andaman & Nicobar,2022,1,744103,15011
Andaman & Nicobar,2022,1,744105,13070
Andaman & Nicobar,2022,1,744101,12300
Andaman & Nicobar,2022,1,744102,8271
Andaman & Nicobar,2022,1,744202,4107
Andaman & Nicobar,2022,1,744107,3455
Andaman & Nicobar,2022,1,744104,3146
Andaman & Nicobar,2022,1,744112,2552
Andaman & Nicobar,2022,1,744211,2344
Andaman & Nicobar,2022,1,744205,2034
Andaman & Nicobar,2022,2,744103,15799
Andaman & Nicobar,2022,2,744105,13791
Andaman & Nicobar,2022,2,744101,12947
Andaman & Nicobar,2022,2,744102,8709
Andaman & Nicobar,2022,2,744202,4361
Andaman & Nicobar,2022,2,744107,3674
Andaman & Nicobar,2022,2,744104,3319
Andaman & Nicobar,2022,2,744112,2700
Andaman & Nicobar,2022,2,744211,2471
Andaman & Nicobar,2022,2,744205,2162
Andaman & Nicobar,2022,3,744103,16666
Andaman & Nicobar,2022,3,744105,14503
Andaman & Nicobar,2022,3,744101,13649
Andaman & Nicobar,2022,3,744102,9148
Andaman & Nicobar,2022,3,744202,4572
Andaman & Nicobar,2022,3,744107,3868
Andaman & Nicobar,2022,3,744104,3493
Andaman & Nicobar,2022,3,744112,2837
Andaman & Nicobar,2022,3,744211,2577
Andaman & Nicobar,2022,3,744205,2268
Andaman & Nicobar,2022,4,744103,17406
Andaman & Nicobar,2022,4,744105,15185
Andaman & Nicobar,2022,4,744101,14337
Andaman & Nicobar,2022,4,744102,9591
Andaman & Nicobar,2022,4,744202,4760
Andaman & Nicobar,2022,4,744107,4051
Andaman & Nicobar,2022,4,744104,3647
Andaman & Nicobar,2022,4,744112,2975
Andaman & Nicobar,2022,4,744211,2679
Andaman & Nicobar,2022,4,744205,2358
Andaman & Nicobar,2023,1,744103,18209
Andaman & Nicobar,2023,1,744105,15848
Andaman & Nicobar,2023,1,744101,15006
Andaman & Nicobar,2023,1,744102,10033
Andaman & Nicobar,2023,1,744202,4993
Andaman & Nicobar,2023,1,744107,4239
Andaman & Nicobar,2023,1,744104,3795
Andaman & Nicobar,2023,1,744112,3141
Andaman & Nicobar,2023,1,744211,2792
Andaman & Nicobar,2023,1,744205,2480
Andaman & Nicobar,2023,2,744103,18944
Andaman & Nicobar,2023,2,744105,16488
Andaman & Nicobar,2023,2,744101,15562
Andaman & Nicobar,2023,2,744102,10387
Andaman & Nicobar,2023,2,744202,5239
Andaman & Nicobar,2023,2,744107,4425
Andaman & Nicobar,2023,2,744104,3937
Andaman & Nicobar,2023,2,744112,3261
Andaman & Nicobar,2023,2,744211,2917
Andaman & Nicobar,2023,2,744205,2605
Andaman & Nicobar,2023,3,744103,19673
Andaman & Nicobar,2023,3,744105,17171
Andaman & Nicobar,2023,3,744101,16188
Andaman & Nicobar,2023,3,744102,10799
Andaman & Nicobar,2023,3,744202,5480
Andaman & Nicobar,2023,3,744107,4591
Andaman & Nicobar,2023,3,744104,4082
Andaman & Nicobar,2023,3,744112,3382
Andaman & Nicobar,2023,3,744211,3033
Andaman & Nicobar,2023,3,744205,2716
Andaman & Nicobar,2023,4,744103,20431
Andaman & Nicobar,2023,4,744105,17824
Andaman & Nicobar,2023,4,744101,16772
Andaman & Nicobar,2023,4,744102,11155
Andaman & Nicobar,2023,4,744202,5700
Andaman & Nicobar,2023,4,744107,4759
Andaman & Nicobar,2023,4,744104,4224
Andaman & Nicobar,2023,4,744112,3496
Andaman & Nicobar,2023,4,744211,3141
Andaman & Nicobar,2023,4,744205,2822
Andhra Pradesh,2018,1,517501,39884
Andhra Pradesh,2018,1,530016,34201
Andhra Pradesh,2018,1,517507,34111
Andhra Pradesh,2018,1,515001,31964
Andhra Pradesh,2018,1,516001,29078
Andhra Pradesh,2018,1,518002,29043
Andhra Pradesh,2018,1,530026,26889
Andhra Pradesh,2018,1,516360,26187
Andhra Pradesh,2018,1,520010,24397
Andhra Pradesh,2018,1,524002,23439
Andhra Pradesh,2018,2,517501,53468
Andhra Pradesh,2018,2,517507,45241
Andhra Pradesh,2018,2,530016,43386
Andhra Pradesh,2018,2,515001,42466
Andhra Pradesh,2018,2,516001,38402
Andhra Pradesh,2018,2,518002,37593
Andhra Pradesh,2018,2,516360,34544
Andhra Pradesh,2018,2,530026,34126
Andhra Pradesh,2018,2,520010,31871
Andhra Pradesh,2018,2,524002,31134
Andhra Pradesh,2018,3,517501,65157
Andhra Pradesh,2018,3,517507,54849
Andhra Pradesh,2018,3,530016,52259
Andhra Pradesh,2018,3,515001,51449
Andhra Pradesh,2018,3,516001,46691
Andhra Pradesh,2018,3,518002,45145
Andhra Pradesh,2018,3,516360,41963
Andhra Pradesh,2018,3,530026,40580
Andhra Pradesh,2018,3,520010,38918
Andhra Pradesh,2018,3,524002,37559
Andhra Pradesh,2018,4,517501,82873
Andhra Pradesh,2018,4,517507,70421
Andhra Pradesh,2018,4,530016,65549
Andhra Pradesh,2018,4,515001,63576
Andhra Pradesh,2018,4,516001,58028
Andhra Pradesh,2018,4,518002,55735
Andhra Pradesh,2018,4,516360,52058
Andhra Pradesh,2018,4,530026,51900
Andhra Pradesh,2018,4,520010,48991
Andhra Pradesh,2018,4,524002,46616
Andhra Pradesh,2019,1,517501,100561
Andhra Pradesh,2019,1,517507,85980
Andhra Pradesh,2019,1,530016,77790
Andhra Pradesh,2019,1,515001,75171
Andhra Pradesh,2019,1,516001,68514
Andhra Pradesh,2019,1,518002,66689
Andhra Pradesh,2019,1,530026,61623
Andhra Pradesh,2019,1,516360,60798
Andhra Pradesh,2019,1,520010,59055
Andhra Pradesh,2019,1,524002,55931
Andhra Pradesh,2019,2,517501,113033
Andhra Pradesh,2019,2,517507,97534
Andhra Pradesh,2019,2,530016,87556
Andhra Pradesh,2019,2,515001,84157
Andhra Pradesh,2019,2,516001,76617
Andhra Pradesh,2019,2,518002,75952
Andhra Pradesh,2019,2,530026,68283
Andhra Pradesh,2019,2,516360,66885
Andhra Pradesh,2019,2,520010,66082
Andhra Pradesh,2019,2,524002,62933
Andhra Pradesh,2019,3,517501,124727
Andhra Pradesh,2019,3,517507,108199
Andhra Pradesh,2019,3,530016,97323
Andhra Pradesh,2019,3,515001,93191
Andhra Pradesh,2019,3,518002,84918
Andhra Pradesh,2019,3,516001,84693
Andhra Pradesh,2019,3,530026,74501
Andhra Pradesh,2019,3,516360,73267
Andhra Pradesh,2019,3,520010,72722
Andhra Pradesh,2019,3,524002,69783
Andhra Pradesh,2019,4,517501,136436
Andhra Pradesh,2019,4,517507,119146
Andhra Pradesh,2019,4,530016,106404
Andhra Pradesh,2019,4,515001,102848
Andhra Pradesh,2019,4,516001,94209
Andhra Pradesh,2019,4,518002,94193
Andhra Pradesh,2019,4,516360,81619
Andhra Pradesh,2019,4,530026,81191
Andhra Pradesh,2019,4,520010,79453
Andhra Pradesh,2019,4,524002,77681
Andhra Pradesh,2020,1,517501,146823
Andhra Pradesh,2020,1,517507,129214
Andhra Pradesh,2020,1,530016,114042
Andhra Pradesh,2020,1,515001,111359
Andhra Pradesh,2020,1,518002,102905
Andhra Pradesh,2020,1,516001,102893
Andhra Pradesh,2020,1,516360,89774
Andhra Pradesh,2020,1,530026,87449
Andhra Pradesh,2020,1,524002,85878
Andhra Pradesh,2020,1,520010,85779
Andhra Pradesh,2020,2,517501,156221
Andhra Pradesh,2020,2,517507,138735
Andhra Pradesh,2020,2,530016,120621
Andhra Pradesh,2020,2,515001,119223
Andhra Pradesh,2020,2,518002,112673
Andhra Pradesh,2020,2,516001,111898
Andhra Pradesh,2020,2,516360,98803
Andhra Pradesh,2020,2,524002,93834
Andhra Pradesh,2020,2,530026,93224
Andhra Pradesh,2020,2,520010,91299
Andhra Pradesh,2020,3,517501,166768
Andhra Pradesh,2020,3,517507,149001
Andhra Pradesh,2020,3,515001,128227
Andhra Pradesh,2020,3,530016,128059
Andhra Pradesh,2020,3,518002,121529
Andhra Pradesh,2020,3,516001,120997
Andhra Pradesh,2020,3,516360,108073
Andhra Pradesh,2020,3,524002,102103
Andhra Pradesh,2020,3,530026,99754
Andhra Pradesh,2020,3,520010,97752
Andhra Pradesh,2020,4,517501,178328
Andhra Pradesh,2020,4,517507,160062
Andhra Pradesh,2020,4,515001,137945
Andhra Pradesh,2020,4,530016,136049
Andhra Pradesh,2020,4,518002,130871
Andhra Pradesh,2020,4,516001,130500
Andhra Pradesh,2020,4,516360,117397
Andhra Pradesh,2020,4,524002,110746
Andhra Pradesh,2020,4,530026,106320
Andhra Pradesh,2020,4,520010,104956
Andhra Pradesh,2021,1,517501,190712
Andhra Pradesh,2021,1,517507,171417
Andhra Pradesh,2021,1,515001,147941
Andhra Pradesh,2021,1,530016,145206
Andhra Pradesh,2021,1,518002,140153
Andhra Pradesh,2021,1,516001,139840
Andhra Pradesh,2021,1,516360,126260
Andhra Pradesh,2021,1,524002,118730
Andhra Pradesh,2021,1,530026,113581
Andhra Pradesh,2021,1,520010,112324
Andhra Pradesh,2021,2,517501,203005
Andhra Pradesh,2021,2,517507,182425
Andhra Pradesh,2021,2,515001,157649
Andhra Pradesh,2021,2,530016,154509
Andhra Pradesh,2021,2,518002,149368
Andhra Pradesh,2021,2,516001,148851
Andhra Pradesh,2021,2,516360,134622
